ID,titulo,Duracion,Año,Sinopsis,Genero,Actores,Tipo,Link
139,Trois 3: The Escort,95 MINS,2004,A high-priced escort upsets a powerful businesswoman when he falls for a call girl who works for the same madam.,"DRAMA, SUSPENSE","Starring Brian J. White, Patrice Fisher, Reagan Gomez-Preston",Pelicula,https://www.starz.com/us/en/movies/trois-3-the-escort-68467
140,Pawn,88 MINS,2013,A petty robbery spirals into a tense hostage situation after three gunmen hold up a diner that's a front for the mob.,"ACTION, SUSPENSE","Starring Forest Whitaker, Michael Chiklis, Nikki Reed",Pelicula,https://www.starz.com/us/en/movies/pawn-30852
141,Lonesome Dove Church,90 MINS,2014,"A Texas preacher who dreams of building his own church puts his life on the line to save his son, an accused outlaw.","WESTERN, DRAMA","Starring Tom Berenger, Greyston Holt, Alex Zahara",Pelicula,https://www.starz.com/us/en/movies/lonesome-dove-church-28984
142,Aurora: A Love Story,95 MINS,2023,Plans swiftly change and dark secrets are revealed when a bride goes missing the night before her Puerto Rican destination wedding.,"DRAMA, SUSPENSE","Starring Julito McCullum, Marc John Jefferies, Tobias Truvillion",Pelicula,https://www.starz.com/us/en/movies/aurora-a-love-story-69322
143,Wings,87 MINS,2012,"A few weeks before a big airshow, Ace gets his acceptance letter to take part in the competition to become the next champion.","ADVENTURE, ANIMATED","Starring Josh Duhamel, Hilary Duff, Jesse McCartney",Pelicula,https://www.starz.com/us/en/movies/wings-66506
144,Mad Money,104 MINS,2008,A trio of female Federal Reserve employees concoct a plan to relieve their workplace of paper money slated for destruction - but comic complications t,"COMEDY, CRIME","Starring Diane Keaton, Queen Latifah, Katie Holmes",Pelicula,https://www.starz.com/us/en/movies/mad-money-1037
145,Marry Me,112 MINS,2022,"On the day of her wedding, a pop star marries a complete stranger after finding out that her fiance cheated on her.","COMEDY, ROMANCE","Starring Jennifer Lopez, Owen Wilson, Maluma",Pelicula,https://www.starz.com/us/en/movies/marry-me-64747
146,Vacancy,85 MINS,2007,"A couple are stranded at a desolate, run-down motel run by a twitchy manager - are those real murders on the in-room video tapes, and why are there mu","CRIME, HORROR","Starring Kate Beckinsale, Luke Wilson, Frank Whaley",Pelicula,https://www.starz.com/us/en/movies/vacancy-24025
147,Gangland,88 MINS,2018,The city of Chicago is plagued by gang violence on both sides of the city in this modern retelling of the classic Romeo and Juliet story.,"DRAMA, MUSICAL","Starring Wood Harris, Clifton Powell, Marcus T. Paulk",Pelicula,https://www.starz.com/us/en/movies/gangland-64115
148,The Grudge,91 MINS,2004,"A murderous supernatural curse passes like a virus in Tokyo, infecting and possessing its victims in unspeakable horrors - an American nurse frantical","HORROR, SUSPENSE","Starring Sarah Michelle Gellar, Jason Behr, William Mapother",Pelicula,https://www.starz.com/us/en/movies/the-grudge-29285
149,Malum,93 MINS,2023,"After taking the last shift at a newly decommissioned station, a rookie police officer finds herself barraged by terrifying supernatural events while",HORROR,"Starring Jessica Sula, Candice Coke, Chaney Morrow",Pelicula,https://www.starz.com/us/en/movies/malum-71170
150,Never Been Kissed,107 MINS,1999,A journalist enrolls in her old high school as part of her research for a story.,"COMEDY, ROMANCE","Starring Drew Barrymore, David Arquette, Marley Shelton",Pelicula,https://www.starz.com/us/en/movies/never-been-kissed-24477
151,Get the Gringo,96 MINS,2012,A career criminal nabbed by Mexican authorities is placed in a tough prison where he learns to survive with the help of a young boy.,"ACTION, SUSPENSE","Starring Mel Gibson, Peter Stormare, Dean Norris",Pelicula,https://www.starz.com/us/en/movies/get-the-gringo-65163
152,Kingdom of Heaven,144 MINS,2005,"During the Crusades of the 12th Century, a young blacksmith leads the people of Jerusalem in defense against the Crusaders.","DRAMA, ACTION","Starring Orlando Bloom, Eva Green, Liam Neeson",Pelicula,https://www.starz.com/us/en/movies/kingdom-of-heaven-25424
153,FernGully: The Last Rainforest,76 MINS,1992,"A woodland fairy and her pals - including a crazy motor-mouth bat - save the life of a lumberjack by shrinking him to miniature size, and then battle","ANIMATED, ADVENTURE","Starring Robin Williams, Tim Curry, Samantha Mathis",Pelicula,https://www.starz.com/us/en/movies/ferngully-the-last-rainforest-37558
154,Antwone Fisher,120 MINS,2002,A bright but angry young sailor is about to be thrown out of the navy - then he meets a military therapist who helps the sailor face his demons and in,"DRAMA, TRUE STORY","Starring Denzel Washington, Derek Luke, Joy Bryant",Pelicula,https://www.starz.com/us/en/movies/antwone-fisher-39508
155,Limitless,104 MINS,2011,"With the help of a mysterious pill that enables the user to access his brain's full abilities, a struggling writer becomes a financial wizard - and en","SUSPENSE, ACTION","Starring Robert De Niro, Bradley Cooper, Abbie Cornish",Pelicula,https://www.starz.com/us/en/movies/limitless-50426
156,SAS: Red Notice,124 MINS,2021,"A groom's wedding plans are disrupted when a small army of well-trained criminals, led by Laszlo Antonov, hijack the Eurostar deep beneath the English","ACTION, SUSPENSE","Starring Sam Heughan, Ruby Rose, Andy Serkis",Pelicula,https://www.starz.com/us/en/movies/sas-red-notice-65092
157,Corsicana,102 MINS,2022,"Deputy US Marshal Bass Reeves reunites with his former partner turned fugitive Sam Tanner. Joined by an ex-Union Sharpshooter, they are in a race against time as they track Jack Donner and his vicious gang of killers.","DRAMA, WESTERN","Starring Isaiah Washington, Lew Temple, Noel Guglielmi",Pelicula,https://www.starz.com/us/en/movies/corsicana-69699
158,Monster Hunter,103 MINS,2020,"Transported to a strange world, Lt. Artemis and her team of elite soldiers join forces with a mysterious hunter to battle dangerous and powerful monst","ACTION, ADVENTURE","Starring Milla Jovovich, Tony Jaa, Jannik Schümann",Pelicula,https://www.starz.com/us/en/movies/monster-hunter-59525
159,My Best Friend's Girl,100 MINS,2008,"Tank, a guy hired to take girls on horrible dates so they crawl back to the boyfriends they dumped, struggles with his libido and the meaning of frien","COMEDY, ROMANCE","Starring Dane Cook, Kate Hudson, Jason Biggs",Pelicula,https://www.starz.com/us/en/movies/my-best-friends-girl-50076
160,"Are You There God? It's Me, Margaret.",106 MINS,2023,"Raised by a Christian mother and a Jewish father, an adolescent girl starts to ask questions about faith and religion. Based on the beloved novel by J","COMEDY, DRAMA","Starring Abby Ryder Fortson, Rachel McAdams, Kathy Bates",Pelicula,https://www.starz.com/us/en/movies/are-you-there-god-its-me-margaret-64991
161,City of Lies,111 MINS,2018,Disgraced LAPD detective Russell Poole teams with journalist Jack Jackson to uncover the truth behind the murders of Tupac Shakur and The Notorious B.,"CRIME, DRAMA","Starring Johnny Depp, Forest Whitaker, Rockmond Dunbar",Pelicula,https://www.starz.com/us/en/movies/city-of-lies-63531
162,The Pay Day,92 MINS,2022,A broke and frustrated IT technician decides to embark on a one woman heist to steal valuable data worth millions on the black market.,"COMEDY, CRIME","Starring Kyla Frye, Simon Callow, Sam Benjamin",Pelicula,https://www.starz.com/us/en/movies/the-pay-day-69011
163,My Hero Academia: World Heroes' Mission,104 MINS,2021,Japan's greatest heroes must track down the mastermind behind a deadly chemical attack.,"ACTION, ADVENTURE","Starring Kyla Frye, Simon Callow, Sam Benjamin",Pelicula,https://www.starz.com/us/en/movies/my-hero-academia-world-heroes-mission-66218
