Titulo,Temporadas,Capitulos,Nombre del capitulo,Duracion y Fecha,Sinopsis del capitulo,Link
Ash vs Evil Dead,3,10,Ep 110 - The Dark One,TV-MA | 36 MINS | 2016,"In a monumental last-ditch attempt to rid the world of the Evil, Ash will be offered a deal that could change him...and mankind forever.",https://www.starz.com/us/en/series/ash-vs-evil-dead/24815
Howards End,1,4,Episode 4,TV-14 | 59 MINS | 2018,"Refusing to punish Henry for his past transgressions, Margaret resolves to uphold their engagement. Helen unexpectedly leaves for Europe. The Schlegels, the Wilcoxes and Leonard Bast have a ...",https://www.starz.com/us/en/series/howards-end/37269
ICE,2,4,Episode 4,TV-14 | 59 MINS | 2018,"Refusing to punish Henry for his past transgressions, Margaret resolves to uphold their engagement. Helen unexpectedly leaves for Europe. The Schlegels, the Wilcoxes and Leonard Bast have a ...",https://www.starz.com/us/en/series/ice/62612
Now Apocalypse,1,10,Ep 110 - Everything Is Gone Forever,TV-MA | 32 MINS | 2019,Uly and Isaac's relationship disintegrates when Isaac learns about Gabriel. Carly fights with Jethro about her camming. Ford wants to know where he and Severine stand. Carly gets a big career break.,https://www.starz.com/us/en/series/now-apocalypse/43571
Sweetbitter,2,10,Ep 110 - Everything Is Gone Forever,TV-MA | 32 MINS | 2019,Uly and Isaac's relationship disintegrates when Isaac learns about Gabriel. Carly fights with Jethro about her camming. Ford wants to know where he and Severine stand. Carly gets a big career break.,https://www.starz.com/us/en/series/sweetbitter/37699
Vida,1,6,Episode 6,TV-MA | 35 MINS | 2018,"Lyn finally realizes she's messing up Johnny's life, and Emma learns the true value of the bar, but is it too late for Eddy?",https://www.starz.com/us/en/series/vida/37707
Evil By Design: Exposing Peter Nygård,1,3,Ep 103 - End Game,TV-MA | 51 MINS | 2022,Suspense builds as survivors and family members work frantically to help the FBI build a case against Nygård.,https://www.starz.com/us/en/series/evil-by-design-exposing-peter-nyg%C3%A5rd/66343
Larry McMurtry's Streets Of Laredo,1,3,Ep 3 - Episode 103,TV-14 | 89 MINS | 1995,"Part 3 of 3-Bounty hunter Woodrow Call is hired by a rail baron to track down young assassin sniper, Joey Garza. Call teams up with his old compadre Pea Eye on a long and dangerous trek to p...",https://www.starz.com/us/en/series/larry-mcmurtrys-streets-of-laredo/37362
Who is Ghislaine Maxwell?,1,3,Ep 103 - The Reckoning,TV-MA | 51 MINS | 2022,"Concluding this three-part series, we chart the steady demise of Ghislaine Maxwell. A domino effect eventually leads to her ultimate reckoning – at her criminal trial that found her guilty l...",https://www.starz.com/us/en/series/who-is-ghislaine-maxwell/64948
Flesh and Bone,1,8,Ep 108 - Scorched Earth,TV-MA | 66 MINS | 2015,Kiira's decision throws opening night into disarray. Daphne finds herself in the spotlight while Claire rises to artistic transcendence and Romeo's prophecy is revealed.,https://www.starz.com/us/en/series/flesh-and-bone/24528
